confidence,threshold,suppress_pnl,maker_pnl,edge,recommended
0.5,-1.0,-3.175,1.0,-4.175,False
0.5,-1.5,-3.175,1.0,-4.175,False
0.5,-2.0,-3.175,1.0,-4.175,False
0.5,-2.5,-3.175,1.0,-4.175,False
0.5,-3.0,-3.175,1.0,-4.175,False
0.6,-1.0,-3.01,1.0,-4.01,False
0.6,-1.5,-3.01,1.0,-4.01,False
0.6,-2.0,-3.01,1.0,-4.01,False
0.6,-2.5,-3.01,1.0,-4.01,False
0.6,-3.0,-3.01,1.0,-4.01,False
0.7,-1.0,-2.845,1.0,-3.845,False
0.7,-1.5,-2.845,1.0,-3.845,False
0.7,-2.0,-2.845,1.0,-3.845,False
0.7,-2.5,-2.845,1.0,-3.845,False
0.7,-3.0,-2.845,1.0,-3.845,False
0.8,-1.0,-2.6799999999999997,1.0,-3.6799999999999997,False
0.8,-1.5,-2.6799999999999997,1.0,-3.6799999999999997,False
0.8,-2.0,-2.6799999999999997,1.0,-3.6799999999999997,False
0.8,-2.5,-2.6799999999999997,1.0,-3.6799999999999997,False
0.8,-3.0,-2.6799999999999997,1.0,-3.6799999999999997,False
0.9,-1.0,-2.515,1.0,-3.515,False
0.9,-1.5,-2.515,1.0,-3.515,False
0.9,-2.0,-2.515,1.0,-3.515,False
0.9,-2.5,-2.515,1.0,-3.515,False
0.9,-3.0,-2.515,1.0,-3.515,False
0.95,-1.0,-2.4325,1.0,-3.4325,False
0.95,-1.5,-2.4325,1.0,-3.4325,False
0.95,-2.0,-2.4325,1.0,-3.4325,False
0.95,-2.5,-2.4325,1.0,-3.4325,False
0.95,-3.0,-2.4325,1.0,-3.4325,False
